Action,File
Cleaned,rules/windows/process_creation\proc_creation_win_bash_file_execution.yml
Cleaned,rules/windows/process_creation\proc_creation_win_citrix_trolleyexpress_procdump.yml
Cleaned,rules/windows/process_creation\proc_creation_win_conhost_susp_child_process.yml
Cleaned,rules/windows/process_creation\proc_creation_win_dllhost_no_cli_execution.yml
Cleaned,rules/windows/process_creation\proc_creation_win_googleupdate_susp_child_process.yml
Cleaned,rules/windows/process_creation\proc_creation_win_gup_arbitrary_binary_execution.yml
Cleaned,rules/windows/process_creation\proc_creation_win_lolbin_ie4uinit.yml
Cleaned,rules/windows/process_creation\proc_creation_win_offlinescannershell_mpclient_sideloading.yml
Cleaned,rules/windows/process_creation\proc_creation_win_powershell_base64_frombase64string.yml
Cleaned,rules/windows/process_creation\proc_creation_win_powershell_base64_iex.yml
Cleaned,rules/windows/process_creation\proc_creation_win_powershell_base64_mppreference.yml
Cleaned,rules/windows/process_creation\proc_creation_win_powershell_defender_disable_feature.yml
Cleaned,rules/windows/process_creation\proc_creation_win_regsvr32_susp_exec_path_2.yml
Cleaned,rules/windows/process_creation\proc_creation_win_regsvr32_uncommon_extension.yml
Cleaned,rules/windows/process_creation\proc_creation_win_rundll32_uncommon_dll_extension.yml
Cleaned,rules/windows/process_creation\proc_creation_win_sdbinst_susp_extension.yml
Cleaned,rules/windows/process_creation\proc_creation_win_susp_elevated_system_shell_uncommon_parent.yml
Cleaned,rules/windows/process_creation\proc_creation_win_susp_image_missing.yml
Cleaned,rules/windows/process_creation\proc_creation_win_susp_lolbin_exec_from_non_c_drive.yml
Cleaned,rules/windows/process_creation\proc_creation_win_susp_non_exe_image.yml
Cleaned,rules/windows/process_creation\proc_creation_win_susp_parents.yml
Cleaned,rules/windows/process_creation\proc_creation_win_susp_proc_wrong_parent.yml
Cleaned,rules/windows/process_creation\proc_creation_win_susp_userinit_child.yml
Cleaned,rules/windows/process_creation\proc_creation_win_svchost_execution_with_no_cli_flags.yml
Cleaned,rules/windows/process_creation\proc_creation_win_svchost_termserv_proc_spawn.yml
Cleaned,rules/windows/process_creation\proc_creation_win_svchost_uncommon_parent_process.yml
Cleaned,rules/windows/process_creation\proc_creation_win_sysinternals_tools_masquerading.yml
Cleaned,rules/windows/process_creation\proc_creation_win_userinit_uncommon_child_processes.yml
Cleaned,rules/windows/process_creation\proc_creation_win_vmware_vmtoolsd_susp_child_process.yml
Cleaned,rules/windows/process_creation\proc_creation_win_vscode_tunnel_execution.yml
Cleaned,rules/windows/process_creation\proc_creation_win_vscode_tunnel_renamed_execution.yml
Cleaned,rules/windows/process_creation\proc_creation_win_whoami_parent_anomaly.yml
Cleaned,rules/windows/process_creation\proc_creation_win_wlrmdr_uncommon_child_process.yml
Cleaned,rules/windows/process_creation\proc_creation_win_wmiprvse_spawning_process.yml
